,id,Unnamed: 1,action_id,action_name,player_id,player_name,team_id,team_name,position_id,position_name,opponent_id,opponent_name,opponent_team_id,opponent_team_name,opponent_position_id,opponent_position_name,half,second,zone_id,zone_name,zone_dest_id,zone_dest_name,pos_x,pos_y,pos_dest_x,pos_dest_y,gate_x,gate_y,len,direction,standart_id,standart_name,possession_id,possession_name,possession_team_id,possession_team_name,possession_time,possession_number,attack_status_id,attack_status_name,attack_type_id,attack_type_name,attack_flang_id,attack_flang_name,attack_team_id,attack_team_name,attack_number,body_id,body_name,assistant_id,assistant_name,shot_type,touches,shot_handling,sub_reason,var_decision,ts,dl,match_id,jornada
1309,60119,,7000,Picking up,300324.0,Joel David Graterol Nader,1491.0,America de Cali,31.0,Goalkeeper,,,,,,,2,274.07,4.0,1B,,,6.6,16.9,,,,,,,1.0,Open play,4.0,Transition of possession,3356.0,Aguilas Doradas,17.0,108.0,,,,,,,,,,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1310,71743,,2060,Recovered balls,300324.0,Joel David Graterol Nader,1491.0,America de Cali,,,,,,,,,2,274.07,4.0,1B,,,6.6,16.9,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-13 17:43:00,0,2181335,6
1311,60121,,1011,Attacking pass accurate,300324.0,Joel David Graterol Nader,1491.0,America de Cali,31.0,Goalkeeper,254290.0,Marlon Aldair Torres Obeso,1491.0,America de Cali,42.0,Defender - Right central,2,286.64,4.0,1B,5.0,2R,15.6,16.8,26.9,11.5,,,12.5,,1.0,Open play,3.0,Ball possession,1491.0,America de Cali,0.0,109.0,,,,,,,,,,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1312,60122,,10000,Bad ball control,254290.0,Marlon Aldair Torres Obeso,1491.0,America de Cali,42.0,Defender - Right central,,,,,,,2,288.01,5.0,2R,,,26.9,11.5,,,,,,,1.0,Open play,3.0,Ball possession,1491.0,America de Cali,0.0,109.0,,,,,,,,,,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1313,71744,,2040,Lost balls,254290.0,Marlon Aldair Torres Obeso,1491.0,America de Cali,,,,,,,,,2,288.01,5.0,2R,,,26.9,11.5,,,,,,,1.0,Open play,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-13 17:43:00,0,2181335,6
1314,60123,,27000,Ball out of the field,,,1491.0,America de Cali,,,,,,,,,2,290.56,5.0,2R,,,31.8,0.0,,,,,,,1.0,Open play,2.0,End,1491.0,America de Cali,16.0,109.0,,,,,,,,,,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1315,60125,,1011,Attacking pass accurate,33983.0,Christian Camilo Marrugo Rodrigues,3356.0,Aguilas Doradas,35.0,Attacking midfielder - Central,7126.0,Marco Jhonnier Perez Murillo,3356.0,Aguilas Doradas,15.0,Attacking midfielder - Left,2,293.6,10.0,3L,10.0,3L,72.8,68.0,61.5,64.4,,,11.9,,2.0,Throw-in,1.0,Start,3356.0,Aguilas Doradas,0.0,110.0,1.0,Start,1.0,Positional attack,3.0,right flank,3356.0,Aguilas Doradas,82.0,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1316,60126,,22000,Ball receiving,7126.0,Marco Jhonnier Perez Murillo,3356.0,Aguilas Doradas,15.0,Attacking midfielder - Left,,,,,,,2,295.14,10.0,3L,,,61.5,64.4,,,,,,,1.0,Open play,3.0,Ball possession,3356.0,Aguilas Doradas,0.0,110.0,3.0,Attack,1.0,Positional attack,3.0,right flank,3356.0,Aguilas Doradas,82.0,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1317,60127,,1011,Attacking pass accurate,7126.0,Marco Jhonnier Perez Murillo,3356.0,Aguilas Doradas,15.0,Attacking midfielder - Left,492038.0,Felipe Jaramillo Velasquez,3356.0,Aguilas Doradas,43.0,Defensive midfielder - Right central,2,297.36,10.0,3L,9.0,3C,59.1,64.4,54.7,40.1,,,24.7,,1.0,Open play,3.0,Ball possession,3356.0,Aguilas Doradas,0.0,110.0,3.0,Attack,1.0,Positional attack,3.0,right flank,3356.0,Aguilas Doradas,82.0,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1318,60128,,22000,Ball receiving,492038.0,Felipe Jaramillo Velasquez,3356.0,Aguilas Doradas,43.0,Defensive midfielder - Right central,,,,,,,2,298.79,9.0,3C,,,54.7,40.1,,,,,,,1.0,Open play,3.0,Ball possession,3356.0,Aguilas Doradas,0.0,110.0,3.0,Attack,1.0,Positional attack,3.0,right flank,3356.0,Aguilas Doradas,82.0,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
1319,60129,,1011,Attacking pass accurate,492038.0,Felipe Jaramillo Velasquez,3356.0,Aguilas Doradas,43.0,Defensive midfielder - Right central,486073.0,Juan Sebastian Penaloza Ragga,3356.0,Aguilas Doradas,55.0,Attacking midfielder - Right,2,299.7,9.0,3C,8.0,3R,55.4,36.4,62.4,16.2,,,21.4,,1.0,Open play,3.0,Ball possession,3356.0,Aguilas Doradas,0.0,110.0,3.0,Attack,1.0,Positional attack,3.0,right flank,3356.0,Aguilas Doradas,82.0,,,,,,,,,,2022-02-13 13:47:31,0,2181335,6
